id;country_code;gender;education;random1;random2;random3
351;EG;Other;Further education;0,415754734;3;3
352;EG;Male;Post-graduate qualifications;0,821181068;1;3
353;EG;Male;Degree;0,658097123;2;3
354;EG;Female;Post-graduate qualifications;0,163254534;1;3
355;DE;Female;Post-graduate qualifications;0,095885124;1;1
356;NG;Other;Primary;0,464143179;5;0
357;CO;Male;Secondary;0,893367631;4;2
358;NG;Female;Further education;0,0218263;3;0
359;CO;Male;Secondary;0,807456576;4;2
360;CO;Other;Primary;0,468488429;5;2
361;EG;Female;Secondary;0,102074186;4;3
362;DE;Other;Primary;0,476960417;5;1
363;MY;Male;None;0,988537729;6;4
364;DE;Other;None;0,412899355;6;1
365;NG;Male;Degree;0,656480872;2;0
366;DE;Male;Further education;0,774931734;3;1
367;MY;Female;None;0,205004022;6;4
368;CO;Female;Primary;0,00175459;5;2
369;DE;Other;Further education;0,485498707;3;1
370;MY;Male;Further education;0,882559536;3;4
371;EG;Female;None;0,131860988;6;3
372;EG;Male;Post-graduate qualifications;0,876517225;1;3
373;EG;Male;Degree;0,96769906;2;3
374;DE;Male;Post-graduate qualifications;0,663636737;1;1
375;MY;Other;Secondary;0,500080555;4;4
376;DE;Female;Post-graduate qualifications;0,361535277;1;1
377;DE;Other;None;0,527216086;6;1
378;MY;Female;Further education;0,190067407;3;4
379;MY;Female;Further education;0,117914308;3;4
380;NG;Female;Post-graduate qualifications;0,021992234;1;0
381;DE;Female;Degree;0,255023269;2;1
382;MY;Other;Primary;0,470826179;5;4
383;CO;Male;Further education;0,870759161;3;2
384;CO;Male;Degree;0,939245105;2;2
385;NG;Female;Post-graduate qualifications;0,038670815;1;0
386;CO;Male;None;0,725715904;6;2
387;DE;Male;Secondary;0,618693174;4;1
388;EG;Other;Degree;0,419774324;2;3
389;NG;Other;Further education;0,509668125;3;0
390;CO;Female;Secondary;0,150678389;4;2
391;DE;Other;Secondary;0,583042061;4;1
392;EG;Male;Degree;0,944940645;2;3
393;DE;Male;Post-graduate qualifications;0,732311051;1;1
394;MY;Female;Primary;0,333639451;5;4
395;CO;Female;Further education;0,140969872;3;2
396;CO;Female;None;0,11980243;6;2
397;CO;Male;None;0,892599691;6;2
398;NG;Male;Further education;0,863625576;3;0
399;NG;Female;None;0,0528896;6;0
400;NG;Male;Further education;0,630125408;3;0
401;NG;Other;None;0,485023534;6;0
402;NG;Female;Post-graduate qualifications;0,245337346;1;0
403;CO;Female;Further education;0,055310356;3;2
404;DE;Other;Secondary;0,478708602;4;1
405;NG;Other;Further education;0,498764223;3;0
406;DE;Other;Degree;0,405414122;2;1
407;EG;Other;Secondary;0,425937235;4;3
408;MY;Other;Secondary;0,582440904;4;4
409;MY;Female;Secondary;0,064120562;4;4
410;CO;Male;None;0,964262988;6;2
411;MY;Male;Secondary;0,865973256;4;4
412;EG;Female;None;0,261302019;6;3
413;CO;Female;Secondary;0,083167553;4;2
414;DE;Male;None;0,726733327;6;1
415;CO;Other;Further education;0,454544431;3;2
416;CO;Female;Secondary;0,32464064;4;2
417;DE;Other;Post-graduate qualifications;0,5365299;1;1
418;DE;Male;Further education;0,649176445;3;1
419;DE;Female;Degree;0,398380224;2;1
420;MY;Other;None;0,565552643;6;4
421;NG;Other;Further education;0,403743824;3;0
422;MY;Female;Further education;0,191374598;3;4
423;DE;Male;Further education;0,813105455;3;1
424;MY;Other;Further education;0,4844503;3;4
425;NG;Other;Further education;0,483179946;3;0
426;EG;Male;Post-graduate qualifications;0,979521283;1;3
427;NG;Female;Degree;0,399756121;2;0
428;CO;Female;Further education;0,296920801;3;2
429;EG;Male;Primary;0,641798065;5;3
430;MY;Female;Degree;0,384830129;2;4
431;DE;Other;Degree;0,556946291;2;1
432;CO;Female;Degree;0,365692669;2;2
433;DE;Female;None;0,347174547;6;1
434;CO;Female;Post-graduate qualifications;0,252623742;1;2
435;MY;Female;Post-graduate qualifications;0,059175349;1;4
436;NG;Female;Further education;0,359573422;3;0
437;NG;Other;Primary;0,581525074;5;0
438;NG;Female;Primary;0,052788024;5;0
439;MY;Other;Degree;0,433830401;2;4
440;NG;Male;Post-graduate qualifications;0,736778751;1;0
441;DE;Female;Further education;0,382961946;3;1
442;MY;Male;Secondary;0,65540823;4;4
443;DE;Male;Degree;0,658657456;2;1
444;MY;Female;Further education;0,20986389;3;4
445;DE;Other;Further education;0,515952187;3;1
446;NG;Female;Degree;0,075132093;2;0
447;EG;Male;Degree;0,858555118;2;3
448;MY;Male;Primary;0,937513972;5;4
449;CO;Female;Primary;0,007125349;5;2
450;DE;Male;Secondary;0,861273494;4;1
451;MY;Male;Post-graduate qualifications;0,938865325;1;4
452;EG;Male;Primary;0,796973049;5;3
453;CO;Male;Further education;0,659177837;3;2
454;CO;Male;Further education;0,683150669;3;2
455;EG;Female;Further education;0,082834598;3;3
456;DE;Male;Degree;0,902688325;2;1
457;NG;Male;Further education;0,949649654;3;0
458;NG;Other;Secondary;0,56401461;4;0
459;EG;Female;Degree;0,205552946;2;3
460;NG;Female;Degree;0,347696014;2;0
461;DE;Male;Further education;0,733673702;3;1
462;NG;Other;Post-graduate qualifications;0,438377943;1;0
463;EG;Female;Degree;0,359522113;2;3
464;CO;Male;Secondary;0,880787575;4;2
465;NG;Female;Degree;0,293208465;2;0
466;NG;Male;Degree;0,78515909;2;0
467;DE;Male;Primary;0,666465382;5;1
468;NG;Female;Further education;0,240480155;3;0
469;MY;Female;None;0,379844808;6;4
470;MY;Female;Post-graduate qualifications;0,323896817;1;4
471;CO;Female;None;0,137008411;6;2
472;CO;Other;None;0,554860663;6;2
473;CO;Male;Degree;0,749305233;2;2
474;EG;Other;Secondary;0,419698809;4;3
475;MY;Female;Secondary;0,000663417;4;4
476;DE;Female;Primary;0,3143283;5;1
477;NG;Female;Further education;0,161068382;3;0
478;NG;Male;Post-graduate qualifications;0,804790965;1;0
479;CO;Male;Post-graduate qualifications;0,66508039;1;2
480;DE;Male;Post-graduate qualifications;0,827625602;1;1
481;NG;Other;Degree;0,494660941;2;0
482;NG;Female;Primary;0,332538431;5;0
483;EG;Female;None;0,241838685;6;3
484;CO;Female;Further education;0,159957011;3;2
485;DE;Female;Post-graduate qualifications;0,188089311;1;1
486;EG;Male;Secondary;0,692990997;4;3
487;EG;Male;Secondary;0,947778929;4;3
488;MY;Other;Primary;0,559601578;5;4
489;DE;Male;None;0,946252281;6;1
490;MY;Other;Post-graduate qualifications;0,442170098;1;4
491;MY;Female;None;0,133545751;6;4
492;DE;Female;Post-graduate qualifications;0,365391362;1;1
493;CO;Other;Further education;0,499565181;3;2
494;MY;Other;Degree;0,451437844;2;4
495;EG;Other;Further education;0,460040157;3;3
496;DE;Other;Primary;0,510421004;5;1
497;EG;Female;Primary;0,186329321;5;3
498;MY;Male;Post-graduate qualifications;0,976477987;1;4
499;EG;Other;Post-graduate qualifications;0,457107216;1;3
500;DE;Female;Further education;0,189193529;3;1
501;MY;Male;None;0,881269272;6;4
502;EG;Male;Secondary;0,704855085;4;3
503;DE;Male;None;0,660436168;6;1
504;EG;Female;Secondary;0,022149251;4;3
505;DE;Female;None;0,307488667;6;1
506;MY;Male;Further education;0,841627222;3;4
507;EG;Female;Post-graduate qualifications;0,202942476;1;3
508;NG;Male;Further education;0,686390152;3;0
509;EG;Male;Further education;0,799883074;3;3
510;EG;Female;Secondary;0,252963216;4;3
511;DE;Female;Primary;0,359834325;5;1
512;CO;Other;None;0,55637151;6;2
513;NG;Female;Primary;0,021454958;5;0
514;MY;Other;Primary;0,504946347;5;4
515;CO;Other;Further education;0,44604491;3;2
516;CO;Male;Post-graduate qualifications;0,690555021;1;2
517;DE;Male;Secondary;0,717576423;4;1
518;EG;Male;Secondary;0,979397259;4;3
519;EG;Male;Primary;0,890064624;5;3
520;EG;Other;Secondary;0,448597917;4;3
521;EG;Male;Primary;0,608656041;5;3
522;NG;Male;Further education;0,804804979;3;0
523;EG;Male;Secondary;0,884356013;4;3
524;DE;Male;Post-graduate qualifications;0,904628176;1;1
525;NG;Other;Further education;0,507607888;3;0
526;DE;Male;Secondary;0,752336279;4;1
527;CO;Female;Degree;0,16883656;2;2
528;EG;Female;Post-graduate qualifications;0,14614168;1;3
529;CO;Male;Primary;0,873440743;5;2
530;EG;Female;Secondary;0,387710066;4;3
531;EG;Male;None;0,948831419;6;3
532;MY;Male;Secondary;0,728186898;4;4
533;MY;Male;None;0,726031548;6;4
534;DE;Female;None;0,246714348;6;1
535;MY;Other;None;0,413799626;6;4
536;CO;Male;Primary;0,620592498;5;2
537;MY;Female;Further education;0,1725392;3;4
538;EG;Other;Post-graduate qualifications;0,4533267;1;3
539;NG;Female;Primary;0,288573377;5;0
540;EG;Female;Post-graduate qualifications;0,228281519;1;3
541;NG;Male;Secondary;0,636505392;4;0
542;EG;Male;Secondary;0,949999558;4;3
543;DE;Male;Secondary;0,644386186;4;1
544;CO;Female;Primary;0,21645111;5;2
545;CO;Male;None;0,755853024;6;2
546;NG;Male;Secondary;0,865577405;4;0
547;DE;Female;Post-graduate qualifications;0,061926221;1;1
548;CO;Other;Degree;0,434013977;2;2
549;DE;Other;None;0,435394431;6;1
550;EG;Female;Post-graduate qualifications;0,060945044;1;3
551;NG;Male;Degree;0,929912564;2;0
552;NG;Male;Primary;0,856958161;5;0
553;NG;Male;Secondary;0,989960099;4;0
554;MY;Female;Post-graduate qualifications;0,330490963;1;4
555;DE;Female;Secondary;0,284058389;4;1
556;DE;Female;None;0,017552579;6;1
557;MY;Female;Degree;0,265533009;2;4
558;MY;Female;Further education;0,269551521;3;4
559;CO;Male;Degree;0,885001144;2;2
560;NG;Female;Post-graduate qualifications;0,088262939;1;0
561;DE;Female;Degree;0,327109181;2;1
562;DE;Male;Secondary;0,716609963;4;1
563;DE;Other;Further education;0,483687679;3;1
564;MY;Female;Degree;0,289789736;2;4
565;MY;Female;Degree;0,008478122;2;4
566;MY;Female;Secondary;0,063655312;4;4
567;NG;Female;Primary;0,066905449;5;0
568;NG;Female;None;0,146061431;6;0
569;NG;Female;Degree;0,397009077;2;0
570;DE;Male;Degree;0,639943868;2;1
571;NG;Female;Secondary;0,110410898;4;0
572;CO;Female;Post-graduate qualifications;0,350945525;1;2
573;EG;Female;None;0,251144884;6;3
574;EG;Other;Post-graduate qualifications;0,589917152;1;3
575;DE;Male;Degree;0,811438207;2;1
576;DE;Male;Degree;0,845452937;2;1
577;NG;Female;None;0,056527966;6;0
578;DE;Female;Secondary;0,206638355;4;1
579;MY;Female;Post-graduate qualifications;0,199944274;1;4
580;CO;Male;Further education;0,937263593;3;2
581;CO;Female;Further education;0,389260423;3;2
582;CO;Male;Primary;0,722236778;5;2
583;DE;Male;Post-graduate qualifications;0,793916267;1;1
584;EG;Female;Primary;0,177364699;5;3
585;CO;Female;Further education;0,168389079;3;2
586;NG;Female;Degree;0,194995433;2;0
587;EG;Female;Primary;0,233737023;5;3
588;DE;Male;None;0,716511377;6;1
589;NG;Other;Further education;0,552153233;3;0
590;DE;Male;Further education;0,848916144;3;1
591;EG;Female;None;0,002612546;6;3
592;DE;Male;Degree;0,867263929;2;1
593;NG;Female;Secondary;0,34006726;4;0
594;EG;Female;Further education;0,076712634;3;3
595;MY;Other;Further education;0,567185948;3;4
596;DE;Other;None;0,479069293;6;1
597;DE;Other;Post-graduate qualifications;0,540520787;1;1
598;DE;Male;Post-graduate qualifications;0,771385872;1;1
599;EG;Female;Post-graduate qualifications;0,357655945;1;3
600;EG;Female;None;0,313555184;6;3
601;DE;Female;None;0,274619236;6;1
602;CO;Other;Further education;0,426930101;3;2
603;MY;Female;Post-graduate qualifications;0,246671104;1;4
604;DE;Female;None;0,225113872;6;1
605;MY;Female;Primary;0,133617088;5;4
606;EG;Other;Post-graduate qualifications;0,481193145;1;3
607;EG;Male;Primary;0,987543619;5;3
608;DE;Other;Degree;0,477023102;2;1
609;DE;Male;Further education;0,895975258;3;1
610;NG;Female;Post-graduate qualifications;0,000500144;1;0
611;EG;Female;Secondary;0,05660206;4;3
612;EG;Female;Further education;0,101413585;3;3
613;CO;Female;Secondary;0,358014776;4;2
614;NG;Female;Secondary;0,19855875;4;0
615;NG;Male;Secondary;0,755834525;4;0
616;EG;Female;Degree;0,151389042;2;3
617;EG;Other;Degree;0,478264103;2;3
618;CO;Female;Secondary;0,210717316;4;2
619;EG;Female;Post-graduate qualifications;0,328272008;1;3
620;CO;Female;Degree;0,165999101;2;2
621;NG;Female;Further education;0,273153351;3;0
622;CO;Female;Degree;0,275537402;2;2
623;MY;Male;Primary;0,786346919;5;4
624;CO;Other;Primary;0,499672953;5;2
625;MY;Other;Degree;0,456290187;2;4
626;EG;Male;Further education;0,996019117;3;3
627;EG;Other;Secondary;0,419799125;4;3
628;DE;Male;Further education;0,868663877;3;1
629;DE;Female;Degree;0,109345063;2;1
630;DE;Male;Primary;0,986190202;5;1
631;EG;Female;Further education;0,234731215;3;3
632;CO;Male;Secondary;0,611134777;4;2
633;CO;Male;None;0,941169237;6;2
634;EG;Other;Degree;0,464569338;2;3
635;MY;Female;Post-graduate qualifications;0,284628094;1;4
636;CO;Female;None;0,232874857;6;2
637;MY;Female;Degree;0,031430506;2;4
638;NG;Other;Further education;0,520983101;3;0
639;CO;Male;Secondary;0,935410133;4;2
640;CO;Other;Post-graduate qualifications;0,474428074;1;2
641;DE;Female;Degree;0,031046737;2;1
642;DE;Male;Degree;0,753190302;2;1
643;NG;Female;Primary;0,359776308;5;0
644;EG;Male;None;0,842982711;6;3
645;EG;Female;Degree;0,281148738;2;3
646;DE;Male;Secondary;0,909206636;4;1
647;CO;Female;Degree;0,27234875;2;2
648;CO;Male;Primary;0,963387815;5;2
649;DE;Other;Post-graduate qualifications;0,464407382;1;1
650;MY;Other;Secondary;0,452800298;4;4
651;CO;Female;None;0,296498756;6;2
652;DE;Female;None;0,379504556;6;1
653;MY;Other;None;0,467121456;6;4
654;MY;Female;Degree;0,06409463;2;4
655;DE;Male;None;0,954703617;6;1
656;EG;Male;Primary;0,626452635;5;3
657;EG;Male;Further education;0,778103254;3;3
658;EG;Male;Further education;0,63083942;3;3
659;CO;Female;Further education;0,328984656;3;2
660;EG;Male;Primary;0,663569809;5;3
661;EG;Female;None;0,301632227;6;3
662;CO;Male;None;0,611134252;6;2
663;MY;Male;None;0,652640579;6;4
664;MY;Male;Primary;0,636057779;5;4
665;MY;Male;None;0,635156161;6;4
666;NG;Other;Post-graduate qualifications;0,416244321;1;0
667;NG;Male;Further education;0,941570861;3;0
668;EG;Male;Further education;0,71643186;3;3
669;NG;Male;None;0,684076755;6;0
670;MY;Other;None;0,524193611;6;4
671;MY;Female;Post-graduate qualifications;0,2560294;1;4
672;NG;Male;Post-graduate qualifications;0,932566181;1;0
673;DE;Male;Post-graduate qualifications;0,86638958;1;1
674;NG;Male;None;0,895283837;6;0
675;NG;Female;Degree;0,090377298;2;0
676;CO;Female;None;0,231395476;6;2
677;EG;Male;Primary;0,950070782;5;3
678;MY;Male;Primary;0,633456226;5;4
679;CO;Female;Degree;0,234569931;2;2
680;NG;Male;Primary;0,611758849;5;0
681;EG;Female;Further education;0,304205627;3;3
682;DE;Other;Post-graduate qualifications;0,599932908;1;1
683;EG;Male;Further education;0,767875767;3;3
684;CO;Other;Primary;0,478946683;5;2
685;DE;Male;Primary;0,864475623;5;1
686;EG;Other;Post-graduate qualifications;0,508257262;1;3
687;EG;Female;None;0,066041807;6;3
688;DE;Female;Primary;0,347126744;5;1
689;DE;Male;None;0,942419622;6;1
690;MY;Other;Primary;0,576879403;5;4
691;EG;Male;Further education;0,660476877;3;3
692;NG;Male;Further education;0,75087144;3;0
693;EG;Other;Post-graduate qualifications;0,40837009;1;3
694;NG;Female;Degree;0,101762102;2;0
695;EG;Other;Primary;0,585388122;5;3
696;MY;Female;None;0,111981401;6;4
697;EG;Other;Primary;0,596161192;5;3
698;NG;Male;Degree;0,944645094;2;0
699;NG;Male;Post-graduate qualifications;0,888868199;1;0
700;DE;Female;Secondary;0,01497701;4;1
701;NG;Male;Further education;0,635184429;3;0
702;NG;Male;Post-graduate qualifications;0,867871693;1;0
703;EG;Female;Further education;0,283086856;3;3
704;NG;Female;Post-graduate qualifications;0,261450695;1;0
705;NG;Male;None;0,807579663;6;0
706;EG;Other;None;0,559634084;6;3
707;NG;Female;Secondary;0,227916559;4;0
708;EG;Female;None;0,365089352;6;3
